,OperationsAmountPerYear,Weekly articles_mean,Weekly articles_min,Weekly articles_max,Interweek change_mean,Interweek change_min,Interweek change_max
0,2011 Single Operation,59.07692307692308,31.0,139.0,0.0014590970317834423,-0.01860712387028185,0.027762354247640172
1,2012 Single Operation,64.8076923076923,35.0,225.0,-0.0003204787614801291,-0.018917866874270103,0.016684928777766842
2,2013 Single Operation,54.73076923076923,30.0,108.0,-0.0014030875208729788,-0.021259734936466712,0.02698692645782597
3,2014 Three Operations,80.4423076923077,36.0,217.0,0.002241525989476162,-0.007958841420084739,0.023272540457230928
4,2018 Single Operation,77.4423076923077,41.0,125.0,0.0015434304260743292,-0.011303735024665196,0.0195947708629236
5,2019 Three Operations,48.96153846153846,12.0,113.0,-0.0014455198002200353,-0.012331868424557245,0.015775132654524567
6,2021 Single Operation,23.607843137254903,7.0,118.0,-0.0006293160015663049,-0.021036509127281836,0.02808318555537648
7,Zero Operations,52.042857142857144,6.0,124.0,-0.0009333135346958922,-0.030461110965475657,0.05183994488776622
